array_size,execution_time
10,15
20,0
30,1
40,1
50,2
60,3
70,3
80,4
90,5
100,6
200,27
300,53
400,91
500,138
600,197
700,263
800,339
900,427
1000,468
2000,1946
3000,4323
4000,8231
5000,13045
6000,19132
7000,26405
8000,35138
9000,45033
10000,56569
20000,297833
30000,760191
40000,1326892
50000,2205019
60000,3195025
70000,4177649
80000,5634208
90000,7742049
100000,9970889
200000,43129209
300000,89185718
400000,157355856
500000,250842016
600000,359912134
700000,490803246
800000,645856853
900000,818783911
1000000,1014922003
